app_id,userName,score,at,content
blibli.mobile.commerce,Gugun G,5,2025-04-19 06:08:22,"bagus bonusnya banyak , cuman payleternya susah di acc nya huhu"
blibli.mobile.commerce,Ari Pihartono,1,2025-04-19 06:07:40,"FITUR KURANG LENGKAP! di website suruh donlot blibli, giliran di blibli hanya bisa di beli melalui website,aneh"
blibli.mobile.commerce,Rey Learden,1,2025-04-19 02:49:28,"Sangat buruk Blibli care ,ga bijak menangani masalah ,akhirnya pembeli yg dirugikan"
blibli.mobile.commerce,Naura Aviyah,5,2025-04-18 23:37:50,Ok
blibli.mobile.commerce,Achmad Irwanto,5,2025-04-18 23:11:59,"Blibli sedikit saran., kalau bisa di banyakin dong sistem COD nya Cash On Delivery., buat customer semoga nyaman transaksi nya., pembelian produk makanan dan minuman nya pakaian baju celana panjang pendek celana dalam juga., saya lebih nyaman dengan COD transaksi pembayaran nya., terima kasih Blibli 🤝."
blibli.mobile.commerce,Lytu Hkkbb,1,2025-04-18 15:59:16,Tampilan halaman nya sangat jelek. kayak benang kusut berantakan. baru pertama download langsung uninstall. ga tau deh org pake aplikasi ini buat apaan. belanja juga ribet. voucher diskon ga ada. kalo ada dibikin rumit. beruntung aja belum bangkrut y.
blibli.mobile.commerce,syuaib surawijaya,5,2025-04-18 13:56:47,indah sekali oke
blibli.mobile.commerce,Rico Rayvan Saputra,4,2025-04-18 10:28:36,"keren,dengan aplikasi ini kita dimudahkan untuk mendapatkan barang karena hanya menunggu saja,salut sama yang buat semoga selalu lebih lancar rezekinya"
blibli.mobile.commerce,Emma Firjatullah,5,2025-04-18 08:44:15,baru pake semoga nyaman😉👍
blibli.mobile.commerce,Muhammad Fatih Setiawan,1,2025-04-18 08:30:58,pengembalian dananya lama bgt apalagi kalo pale paylater
blibli.mobile.commerce,Noval Channel,5,2025-04-18 07:24:38,Mantapppppppppppppp
blibli.mobile.commerce,Lensa kotor chennel,5,2025-04-18 01:44:30,mantao
blibli.mobile.commerce,Rahmat Hidayat,4,2025-04-17 18:04:19,keren
blibli.mobile.commerce,Fahri zal,5,2025-04-17 13:35:28,Terima kasih.
blibli.mobile.commerce,pio samora,1,2025-04-17 12:58:47,"dari member platinum jadi ke silver jatuhnya ,uda itu harga mahal dari harga aplikasi sebelah, saya hapus blibli sekarang...."
blibli.mobile.commerce,Husien HB,5,2025-04-17 11:44:19,"Aplikasinya sangat user-friendly dan mudah digunakan. Tampilan simpel tapi lengkap, loading cepat, dan fitur pencarian produknya sangat membantu. Proses checkout juga lancar dan sistem notifikasinya informatif. Selalu ada promo menarik dan gratis ongkir. Sangat memudahkan belanja online dari rumah. Cara pembayaran yang mencakup luas, sehingga tidak menyusahkan pembeli."
blibli.mobile.commerce,Akhmad benyamen Bashori,5,2025-04-17 10:37:54,baik aplikasinya
blibli.mobile.commerce,Amri Dewantoro,5,2025-04-17 04:26:29,mantab
blibli.mobile.commerce,rudi Hartono,1,2025-04-17 02:17:43,langsung 1 bintang aja..baru instal blum di buka..lihat comen jdi gak nafsu mo belanja di sini unistal lgi deh
blibli.mobile.commerce,Jun Di,5,2025-04-17 00:44:10,"jujur ya ini makin nyaman belanja di bli2 ,,gratis ongkir tanpa minimum belanja & banyak promo2 makanan murah ,mall2 & barang yg kita mau,,tapi sayang bli2 ada barang yang sangat luar biasa mahal harganya,,tolong untuk sbagiann harga barang tidak trlalu overprice"
blibli.mobile.commerce,jhat mik,1,2025-04-16 21:31:06,"Untuk ponsel redmi note 5, kok gak support?"
blibli.mobile.commerce,Heni Rahma,5,2025-04-16 18:33:47,mantap
blibli.mobile.commerce,Donny Pakaya,5,2025-04-16 18:01:00,"mantap, sdh berapa kali belanja di bilbi"
