app_id,userName,score,at,content
bmd.android.apps,MASTER SUBSCRIBER,1,2024-11-19 18:43:37,"Pantesan baru mau download udah ada penilaian bintangnya duluan, ternyata udah pernah didownload dan sepayah itu! Pencarian komponen besar seperti AMD hanya dapat 2 hasil pencarian, cari sapphire malah gak ditemukan. Bravo bhinneka."
bmd.android.apps,Thina Manoban,3,2024-07-12 10:32:04,"Sudah 5 hari, paket belum dikirim 🤦🏼‍♀️"
bmd.android.apps,Mamat bastiar,1,2024-06-20 12:27:07,Sangat jelek playanannya proses nya blanja di bhineka sgt tdk memuaskn
bmd.android.apps,Mashaaa,5,2024-06-09 21:07:36,"Alhamdulillah terpercaya sekali saya udah Cekout, Ulasan orang lain dibawah ini cuma komplain konflik persaingan alias suruhan hati² !!! harusnya dukung buatan Lokal Indonesia, jangan pakai ecomerce negara lain"
bmd.android.apps,Akbar Gani,1,2024-02-19 09:54:15,"e commerce terlambat dan tidak jelas, barang pesanan saya tidak dikirim kirim"
bmd.android.apps,Alda Risma,1,2023-12-13 10:07:49,"Waktu ada sheler nya bagus saya beli hp sudah 2x 3hari sampai dan ongkir murah,setelah diambil alih oleh admin kita GK bisa chat sheler nya beli barang suka dicancel tiba2 jadi kuatir belanja disini"
bmd.android.apps,Alek Whata,1,2023-11-13 18:53:09,"Saya beli hp di aplikasi ini tapi tiba"" dicencel dan dana yang saya bayarkan entah kemana aplikasi penipu gak rekomendasi saya akan lakukan jalur hukum dengan alasan penipuan"
bmd.android.apps,Azizmaulana Maulana,1,2023-10-31 15:53:01,"Saya saran kan jgn download apk ini kalau tidak bernasib sama seperti sy beli hp, waktu di tanya merk dan tipe stok Ready pas sudah di bayar, tiba tiba di batalkan begitu saja dgn alasan BLA BLA dan akan segera melakukan pengembalian dana, sampai saat ini dana sy masih belum di kembalikan, lihat saja kalau sampai dana sy tidak di kembalikan sy akan proses secara hukum, dgn jeratan dugaan penipuan,"
bmd.android.apps,Intan Tangerang,5,2023-10-30 20:51:35,Okeee belanja di bhinneka.. Lengkap dan harga bersaing.
bmd.android.apps,Siti anjar priyadi,1,2023-09-24 14:31:40,"Yang mau download apk ini pikir"" 1000x lah. Cukup suami saya yg kena tipu, saldo sudah di kuras, tapi nyatanya belum di Tf juga dengan pihak bhinneka. Orang"" di balik bhinneka semoga cepat dapat hikmah nya. Terutama rekening AN : Dafa ajun pratama."
bmd.android.apps,Vanesha Cia,1,2023-08-04 11:27:51,Pembayaran cepat ke aplikasi tapi proses barang sampe 2 Minggu.. itupun dibatalkan.. proses refund pembatalan pesanan saya oleh pihak bhineka jg lama. Benar orang bilang..apk bhineka tdk recommended
bmd.android.apps,Liberti Nelloh,1,2023-07-31 18:00:34,Ongkir nya 600 ribu - 1 juta lebih untuk barang2 senilai 1 juta. Gila...
