app_id,userName,score,at,content
com.HoYoverse.hkrpgoversea,fajar jayandra,4,2025-04-17 13:46:15,B aja
com.HoYoverse.hkrpgoversea,I'm groot,1,2025-04-17 12:55:48,"yang bener aja power creep secepat kilat tapi gacha gak ngotak, 1 chara doang 147 pull belom dapet, belum lagi lc signnya"
com.HoYoverse.hkrpgoversea,Aqila Ara leandra zulkarnain,5,2025-04-17 12:37:33,GG ANJR
com.HoYoverse.hkrpgoversea,Fairuz,5,2025-04-17 12:18:48,game baik terimakasi
com.HoYoverse.hkrpgoversea,aulia farasyah10,1,2025-04-17 11:55:15,Nunggu Customer Service Lama 2 Hari aja belom Bales kemaren Juga Hubungin pas bales udah ditutup mau balas nya Jelek deh👎
com.HoYoverse.hkrpgoversea,Vio Violet,1,2025-04-17 11:53:23,mau login kga bisa jaringan error Mulu ngapa si ni game anjg
com.HoYoverse.hkrpgoversea,Septiyandi Hansen,5,2025-04-17 11:28:11,seru👍
com.HoYoverse.hkrpgoversea,[VK] Nagisa,5,2025-04-17 11:10:02,kurangnya cuman di powercreep aja sih
com.HoYoverse.hkrpgoversea,Zam Zawi,1,2025-04-17 11:03:23,sekarang jadi kikir
com.HoYoverse.hkrpgoversea,Reidytamma P. Alam,5,2025-04-17 10:21:28,"lebay lu yg bilang powercreep,apalah.itu mah skill issue"
com.HoYoverse.hkrpgoversea,Della cntk,5,2025-04-17 08:25:09,"gamenya seru, cuman frame drop kalo castorice brust hehe, mantap lah pokonya"
com.HoYoverse.hkrpgoversea,Fajar Robi,5,2025-04-17 08:00:25,game bagus
com.HoYoverse.hkrpgoversea,Rico Saputra,5,2025-04-17 07:45:47,"tolong tambahkan bintang 4 nya dong, makin ke sini makin dikit B4 nya"
com.HoYoverse.hkrpgoversea,Ganda 102,1,2025-04-17 07:41:37,Bagus
com.HoYoverse.hkrpgoversea,Radi Zha,3,2025-04-17 06:53:44,"tolong beri item untuk me reset karakter , karena sulitnya mencari resource yang membutuhkan energi yang banyak"
com.HoYoverse.hkrpgoversea,Alfian Mustofa,1,2025-04-17 06:39:58,"this game is full ""yapping"" rn endgame = must pull new char the old character is not relevant anymore, zonk investment"
com.HoYoverse.hkrpgoversea,Duta Sabana,5,2025-04-17 06:33:50,"alur cerita bagus, desain karakter unik, dan animasi yang baik membuat tidak mudah bosan"
com.HoYoverse.hkrpgoversea,Han Hyesun854,5,2025-04-17 06:07:58,"THANKS DADDY HOYOVERSE, FOR ALL Characters 😘🤍🤍🤍🤍"
com.HoYoverse.hkrpgoversea,Ali Bta,4,2025-04-17 05:56:24,"kurang bersyukur apa coba sebagai player f2p gw dapet castorice sama LC , tapi bugnya bikin ngakak 🤣🤣😂"
com.HoYoverse.hkrpgoversea,Cahoy Dety,2,2025-04-17 05:11:50,"game tidak dapat dimainkan, padahal handphone mendukung untuk memainkan game ini"
com.HoYoverse.hkrpgoversea,Rann Ayato,5,2025-04-17 04:38:09,mantap
com.HoYoverse.hkrpgoversea,YUANZHI,2,2025-04-17 04:28:30,"untuk chara nya bgus² desain, battle, ok lh, note : cuman yang bikin menjengkelkan tuh story nya terlalu panjang, bertele-tele sampai bikin boring. NPC pada angkuh, MC serasa jadi babu diasingkan. banyak dialog sedikit aksi, dikit"" ngobrol udah gitu baru aja jalan dikit eh ngobrol lagi mana panjang lagi, gitu aja terus sepanjang jalan hdeh.. berharap si ada tombol skip nya lh, cape tap tap layar. udah kaya GI ini mah"
com.HoYoverse.hkrpgoversea,Hadis kuhaku,5,2025-04-17 03:42:32,THANK YOUUUUU MIHOYOOOOOOOOOOOO
com.HoYoverse.hkrpgoversea,sendi_ dwiguna2007,5,2025-04-17 03:16:20,"yahahaha yg ngatain global passive ngacaukan meta pas dapet casto senyum-senyum tuh,"
com.HoYoverse.hkrpgoversea,Damar Setya,5,2025-04-17 01:36:23,bagus
com.HoYoverse.hkrpgoversea,Jaya Barna,5,2025-04-16 23:06:46,"kurang2i powercreep nya, perbanyak event, kurangi story yg yapping... overall ok"
com.HoYoverse.hkrpgoversea,Kaifa Seskira,5,2025-04-16 22:59:30,"game terbaik menurut ku, story nya bagus gg gemink. suka banget sama story penacony, penacony peak so bad dude I love it."
