app_id,userName,score,at,content
com.gameloft.android.ANMP.GloftA8HM,Kianu,5,2025-04-17 12:11:38,gem sangat bagus
com.gameloft.android.ANMP.GloftA8HM,indah jaya,5,2025-04-17 10:53:14,eko lah
com.gameloft.android.ANMP.GloftA8HM,Nurul Uciha,5,2025-04-17 10:17:22,mantab
com.gameloft.android.ANMP.GloftA8HM,Ragil alif Pratama,5,2025-04-16 19:13:44,game ini bagus
com.gameloft.android.ANMP.GloftA8HM,Mjd,5,2025-04-16 18:48:38,gamenya bagus
com.gameloft.android.ANMP.GloftA8HM,Lukmin Alfahir,5,2025-04-16 15:44:37,game bagus sekali patut di coba🥰🥰🥰
com.gameloft.android.ANMP.GloftA8HM,Yasmin Nasipah,5,2025-04-15 23:41:39,bagus
com.gameloft.android.ANMP.GloftA8HM,zephani keanu,5,2025-04-15 18:36:26,keren banget
com.gameloft.android.ANMP.GloftA8HM,Ancipakkawaru Anci,3,2025-04-15 14:57:32,ngeleg ngeleg
com.gameloft.android.ANMP.GloftA8HM,Victory Ponsel,3,2025-04-15 09:56:12,Grafik nya si bagus tapi mobil nya mahal..
com.gameloft.android.ANMP.GloftA8HM,Juan Radinka,5,2025-04-15 07:14:53,game nya sangat bagus sekali saya sukaa
com.gameloft.android.ANMP.GloftA8HM,ahmad biladi,4,2025-04-15 03:18:24,game sangat bagus
com.gameloft.android.ANMP.GloftA8HM,novitahandayani novita,5,2025-04-14 20:21:22,mantaaaf
com.gameloft.android.ANMP.GloftA8HM,Agung,4,2025-04-14 18:37:43,ok
com.gameloft.android.ANMP.GloftA8HM,Wida Nengsih,2,2025-04-14 18:27:16,alasan saya memberi bintang 2 mb-nya banyak jadi ngelag tolong perkenalkan mb-nya ya admin
com.gameloft.android.ANMP.GloftA8HM,Pitri And gon,4,2025-04-14 18:23:43,game nya sangat bagus tidak mengunakan kota lagi
com.gameloft.android.ANMP.GloftA8HM,Syahdu Amin,5,2025-04-14 00:40:46,mantap
com.gameloft.android.ANMP.GloftA8HM,Achmad Shenju,2,2025-04-13 22:01:45,too many ads... so annoying...
com.gameloft.android.ANMP.GloftA8HM,Hasan Khoiri,5,2025-04-13 19:03:22,geme nya bagus😎 baget
com.gameloft.android.ANMP.GloftA8HM,ridwan syammandar,4,2025-04-13 14:37:21,game ini sangat bagus
com.gameloft.android.ANMP.GloftA8HM,Banjaro Knight,5,2025-04-13 08:43:36,ok
com.gameloft.android.ANMP.GloftA8HM,Aryo Gedek,5,2025-04-13 08:24:04,bagus
com.gameloft.android.ANMP.GloftA8HM,Under Taker,5,2025-04-12 20:59:33,mantap
com.gameloft.android.ANMP.GloftA8HM,Belva Aerylin,5,2025-04-12 09:39:31,mantap
com.gameloft.android.ANMP.GloftA8HM,Ke Een,5,2025-04-12 09:15:58,kan ap
com.gameloft.android.ANMP.GloftA8HM,Erick Estrada,1,2025-04-11 22:33:47,BANYAK IKLAN
com.gameloft.android.ANMP.GloftA8HM,Ahmad Muhadzib Denhas,5,2025-04-11 22:12:48,b aja
com.gameloft.android.ANMP.GloftA8HM,Dzaky Aditya,5,2025-04-11 21:28:00,game ini sangat bagus tapi tolong developer untuk kembalikan pada saat kita mengupgrade mobil memakai koin dan juga tidak memakai kartu upgrade mobil dan juga saat membeli dekor cat cat mobil juga memakai koin tolong ya mohon developer untuk membalas ulasan dari saya terimakasih mohon dibaca ya developer dan tolong dibuat kan juga ya.
