app_id,userName,score,at,content
com.linecorp.LGGRTHN,tsabina qaireen zoeya,1,2025-04-17 12:58:24,"sering keluar sendiri, padahal wifi dan data kenceng"
com.linecorp.LGGRTHN,Agung Jaya Perayoga,1,2025-04-17 11:19:11,game gaberguna udah cape cape update terbaru malah keluar sendiri terus tolong benerin bug nya tuh jangan mau untung terus
com.linecorp.LGGRTHN,Dea Amanda Putri,1,2025-04-17 07:50:10,"Pelit karakter dan pendant itu"" saja"
com.linecorp.LGGRTHN,Pencinta Alam dan Negara,1,2025-04-17 06:36:58,dahulu kala ini game gak se p2w gini
com.linecorp.LGGRTHN,Davika Rizky,1,2025-04-17 04:58:02,GAME GOBLOKK BENERINN DONG SEMENJAK UPDATE SYSTEM SUKA FORCE CLOSE PADAHAL PAKE HP JUGA UDAH SPEK HIGH
com.linecorp.LGGRTHN,Macky Ssy,1,2025-04-16 19:51:43,"game ini d,buat untk keuntungan sblah pihak, karakter+pandan gratis GX bklan mampu menang lawan karakter+pandan yg buy, game GX ada keuntungan buat para player ,game yg merugikan para player, game sampahhhhh , terlalu berlebihan buat karakter + pandan yg via buy matiin lawan, yg gratisan cuma sampah2nya doang hahahaha, game GX ada guna"
com.linecorp.LGGRTHN,pipelmu,3,2025-04-16 13:16:10,"Min kalau bisa nanti adakan fitur yang bisa nyantumin akun google Line Get Rich ke akun Line, biar kalau mau main get rich kalau mau login ga perlu nakutin ke google lagi. Kalau ada fiturnya kalau mau main Lgr tinggal nautin ke akun line. Makasih min"
com.linecorp.LGGRTHN,レンllenn,5,2025-04-16 10:44:32,bagus
com.linecorp.LGGRTHN,Makhfi Frizza Serjtankian,1,2025-04-16 09:08:34,apalah game ngebug ga dibenerin jir lah 🤣
com.linecorp.LGGRTHN,10 messi lionel,3,2025-04-16 04:49:14,cukup
com.linecorp.LGGRTHN,Raiden,1,2025-04-16 00:25:47,"GAME LAWAK GA BISA DIMAININ,,, MASA PAS MULAI GAME ISINYA CUMA BUFFERING"
com.linecorp.LGGRTHN,Joko Fathurrochman,4,2025-04-15 23:33:14,oke
com.linecorp.LGGRTHN,Azzam Rijani,1,2025-04-15 22:18:39,"game ini tambah rusak aja dari tahun ke tahun, 1 kartu aja hampir punya 5ability, jadi ga pake pendant pun masih bisa menang, sedangkan kartu untuk pemain lama cuma dapat 2 ability doang itupun persentasenya 30%. tambah ga masuk akal main game ini"
