app_id,userName,score,at,content
com.netflix.mediaclient,gisella evangelista,5,2025-04-17 13:40:03,yh keren
com.netflix.mediaclient,Elo Robiansyah,1,2025-04-17 13:38:22,apk ga berguna.
com.netflix.mediaclient,Rendi Ku,5,2025-04-17 13:25:23,👍
com.netflix.mediaclient,Muhtar Tarigan,5,2025-04-17 13:23:21,Iya
com.netflix.mediaclient,Nuyung,5,2025-04-17 12:27:51,terbaik
com.netflix.mediaclient,Bisma Bilnadzi,5,2025-04-17 11:06:15,good
com.netflix.mediaclient,Malvin Alvino,2,2025-04-17 11:03:23,banyak minta update ya Netflix
com.netflix.mediaclient,Dini Ayunda,5,2025-04-17 10:51:54,"menghibur bangett,, bisa nonton apa aja yg d sukai ,mulai dari film horor smpai Drakor semua ada.."
com.netflix.mediaclient,08_Danish Zulfan,1,2025-04-17 10:30:09,very expensive
com.netflix.mediaclient,bob timika,4,2025-04-17 09:35:44,udah bagus semuanya cuman filmnya kurang update terbaru kebanyakan film film lama
com.netflix.mediaclient,Salma Zky,5,2025-04-17 08:22:59,apk nya bagus cuman gabisa nonton bareng sekaligus di dua hp berbeda yaa apa harus beli devicenya dulu ya? tapi gimna caranya?
com.netflix.mediaclient,ferry mardian,5,2025-04-17 00:00:46,Good Jobs... 👍👌
com.netflix.mediaclient,rafif naufal,1,2025-04-16 22:13:03,KECERAHANNYA GABISA DI ATUR ANJJJJ GANYAMAN BGTT
com.netflix.mediaclient,Putra Ariansyah,5,2025-04-16 21:10:31,Senang
com.netflix.mediaclient,Wedy kristanto,5,2025-04-16 20:47:54,ok
com.netflix.mediaclient,EKA RIA NONITA PUTRI_11,1,2025-04-16 20:20:37,"terjadi kesalahan, tidak bisa diputar. menyebalkan... sudah install ulang tetep seperti ini, jika kendala di bulan ini tidak diperbaiki sepertinya pindah aplikasi saja.."
com.netflix.mediaclient,ABHIMANYU SUKMA NUGROHO,5,2025-04-16 19:55:24,ok
