app_id,userName,score,at,content
com.nexon.bluearchive,Apcb,5,2025-04-17 13:25:41,Bagus sekali game nya👍👍
com.nexon.bluearchive,Hilmy GG,4,2025-04-17 04:58:04,cuma story nya yang dark tapi selebihnya dha bagus
com.nexon.bluearchive,Diwangkara Kenway,1,2025-04-17 04:51:37,"servernya jelek, reconect mulu da gamenya"
com.nexon.bluearchive,Muhammad Farel,3,2025-04-16 20:15:02,"Game nya sudah bagus tapi saya selalu dapt gcha ampas tolong ini juga di perbaiki masalah gcha nya terlalu ampas!, woy nexson! gw di kasih biru semua tuh apa apaan?! minimal kasih lah kocak ungu capek gw kumpulin nya berhari hari pas drng benner yg gw mau langsung habis di baru itu gw nya gk di, event tiap UPDATE MINGGUAN NYA UDAH MANTEP DAN BANSOS NYA BANYAK TAPI PERCUMA KALAU AMPASN"
com.nexon.bluearchive,Muhammad fadhillah,1,2025-04-16 17:30:35,di banner kisaki spark trus di banner idol juga ngespark tolong rate gacha di tinggikan trus moga akun gw wangi di banner seia dan banner fest
com.nexon.bluearchive,Natan aji permana natan aji 0,5,2025-04-16 17:16:44,"Plis gift me luck, i need luck"
com.nexon.bluearchive,alzhaafiralioneskyvirendrias,5,2025-04-16 17:14:21,ok
com.nexon.bluearchive,rasya dodo,3,2025-04-16 16:15:59,"Nexon tolong dong kenapa ini di device Infinix xpad malah terjadi masalah frame drop yg sangat parah sampe crash padahal di device saya sebelumya tidak ada masalah seperti ini, tolong di fix ya karna saya tidak bisa bermain secara normal"
com.nexon.bluearchive,Andi Rahandi,3,2025-04-16 09:03:49,game kikir🤮
com.nexon.bluearchive,Muhammad Fakhri,5,2025-04-16 07:22:27,Gamenya bagus banget dan baik sama playernya
com.nexon.bluearchive,Traa,1,2025-04-16 02:50:57,RATE GACHA TINGGIIN KEK NEXON
com.nexon.bluearchive,Eldivo Louis Kurniawan,5,2025-04-15 23:38:59,dev kgk pelit bansos keren
com.nexon.bluearchive,Hena Yova Nugraha,5,2025-04-15 23:24:34,"Gamenya santai, dengan L2D lobby, yang bisa berinteraksi dengan murid-murid tercinta☺️☺️"
com.nexon.bluearchive,Jambumerahh,5,2025-04-15 22:57:23,PEAK ARCHIVE 😭😭
com.nexon.bluearchive,Mahesa Kalvany,1,2025-04-15 21:46:35,ARONA GPP YH GW BINTANG 1 SOALNYA FULL BIRU SEMUA
com.nexon.bluearchive,put3 mulyana,5,2025-04-15 21:27:16,keren👍
com.nexon.bluearchive,Agus aditya Pratama,5,2025-04-15 20:59:44,ini blue archive knp ratingnya 16+ ya dan ada kata s*ks ? . padahal game seperti snowbreak ratingnya 12+ kok bisa.
com.nexon.bluearchive,Zimy,5,2025-04-15 20:48:03,Berikan aku waffi yosstart!!!!
com.nexon.bluearchive,Jaya Adi Saputra,5,2025-04-15 20:07:28,game yang sangat bagus dan desain karakter ya yang imut-imut.. tolong aku sebagai orang Indonesia tambahin bahasa Indonesia ya biar tambah rame thks
com.nexon.bluearchive,Agastya Pageh,5,2025-04-15 19:09:07,sangat amat bagus
com.nexon.bluearchive,ARRUHUL JADIID HIBATULLAH (Arru),5,2025-04-15 18:37:56,secara pengalaman bermain sudah bagus. hanya saja agak bosan dengan style chibi nya. mungkin bisa dibuat suatu mode yang menampilkan versi detailnya.
com.nexon.bluearchive,Muhammad Saekullah,1,2025-04-15 18:23:47,Sistem gachanya jelek banget
com.nexon.bluearchive,Pratama abrian Saputra,5,2025-04-15 17:13:24,Thank Blue Archive
com.nexon.bluearchive,Modal Sahabat,4,2025-04-15 17:11:36,game yang lumayan dan bagus buat dimainkan pas lagi bosan.
com.nexon.bluearchive,Lita iramawati,5,2025-04-15 15:22:35,oke gak jadi game terbaik🤤🤤
com.nexon.bluearchive,Kholid Kholid,1,2025-04-15 14:14:40,developer pelit
com.nexon.bluearchive,Evin Syahputra,1,2025-04-15 14:10:04,Bad game
com.nexon.bluearchive,Hadi,5,2025-04-15 11:44:38,sangat bagus permainannya
com.nexon.bluearchive,Fyunz,1,2025-04-15 11:10:47,tidak dapat di manikan
com.nexon.bluearchive,Faris Jml,5,2025-04-15 11:08:09,gamenya bagus walaupun gacha ampas yg penting story nya menarik
com.nexon.bluearchive,Jason Chiang,1,2025-04-15 09:40:50,gacha ampas
com.nexon.bluearchive,Rio Amanda,5,2025-04-15 09:04:10,"yah cukup baguslah ya walaupun gak ada bahasa Indonesianya, semoga kedepannya ditambahin bahasa Indonesia biar orang yang ngak terlalu jago bahasa inggris bisa lebih mudah untuk memainkan game ini"
com.nexon.bluearchive,Kebelet Ngiseng,5,2025-04-14 22:02:05,semua udah bagus tapi tambahkan LEAGUE INDONESIA
com.nexon.bluearchive,Cokkie Stand,5,2025-04-14 20:18:14,"GOOD GAME,,!! I really like this game but I want this game to add Indonesian language so that people who can't speak English can play this game😄😄😄"
com.nexon.bluearchive,Ahmad Rifkyanoor,5,2025-04-14 19:46:13,aku suka ibuki😋😋
com.nexon.bluearchive,Teykeru Dision,5,2025-04-14 19:06:02,"Nexon yang terhormat aku ingin sekali di blue archive ada karakter baru saya punya referensi nama untuk anda: Tayuko, Naruki, nazika, dan yuzuka. dan aku juga punya referensi untuk villain nya yaitu GENERAL OUROBOROS."
com.nexon.bluearchive,Ocha Yatie,5,2025-04-14 18:38:38,gamenya bagus sih tapi kok aku udah nyalain wifi updatenya gak bisa ya
com.nexon.bluearchive,haydar rizwan,5,2025-04-14 18:04:18,saya suka tapi tolong di optimalkan karena fps kadang drop parah
com.nexon.bluearchive,vlad rv,5,2025-04-14 16:51:19,Good game I like the character and mechanics game
