app_id,userName,score,at,content
com.telkomsel.telkomselcm,Sri dwi,1,2025-04-19 06:56:45,"Aplikasi gak lemotnya minta ampun, mau beli paketan muter terus. Tidak ada perkembangannya sama sekali."
com.telkomsel.telkomselcm,Ro Fiqi,1,2025-04-19 06:56:32,"jelek tambah kesini tambah lelet loding lemot perlu login lagi, saran aja mending kuraring fitur yang ga begitu guna, biar tidak jadi beban"
com.telkomsel.telkomselcm,Nur “Asyrah” Asyrah,1,2025-04-19 06:51:51,sll loding2 terus udah diapain aja masih aja gak bisa.
com.telkomsel.telkomselcm,Edi Sukardi,1,2025-04-19 06:50:27,terburuk
com.telkomsel.telkomselcm,ZILVANZ,1,2025-04-19 06:46:31,"ga usah panjang lebar. saya saranin kalian pindah kartu 😐. rating saya 0,1/100"
com.telkomsel.telkomselcm,Gojek 73,2,2025-04-19 06:44:29,"looding lama di play store ngabisin/trik ngabisin data quota, tidak ada yg perfeck segalanya"
com.telkomsel.telkomselcm,Mochamad Agus,1,2025-04-19 06:42:28,tidak bisa login!
com.telkomsel.telkomselcm,Ardi Kaka,2,2025-04-19 06:41:42,asliii lemot yg bikin nih apk bodoh bett
com.telkomsel.telkomselcm,yudi ristadi,1,2025-04-19 06:36:22,"hari ini untuk kesekian kalinya pulsa saya terpotong 350 rupiah, tuyul mungkin yg curi pulsa saya, semakin lama semakin gak jelas Telkomsel"
com.telkomsel.telkomselcm,Muhammad Riant,1,2025-04-19 06:35:44,"tiap buka aplikasi lemot banget , loading terus , kebuka juga kaga !!! benerin buruan ! atau gue uninstall !!!!"
com.telkomsel.telkomselcm,andika putra,1,2025-04-19 06:31:21,ngga aplikasi ngga kartu Telkomsel sinyalnya sangat buruk ada bintang 0 gua kasih bintang 0 asli
com.telkomsel.telkomselcm,Chais chanel,2,2025-04-19 06:30:28,"berat app nya, buat cek kuota aja gk bisa"
com.telkomsel.telkomselcm,Hari Harsananda,1,2025-04-19 06:29:33,Aplikasi terberat yang dimana pakai Hp dengan prosesor Snapdragon 8 elite dan Mediatek 8400 Ultra plus Ram 12 GB aja ga bisa ngeloading aplikasinya.. Mantap sekali..
com.telkomsel.telkomselcm,Epi Nopi,3,2025-04-19 06:21:44,"mau ngcek kuota z,,muterrr mulu buka apk nya. heraann,,klo buka apk yg laen mah gak"
com.telkomsel.telkomselcm,Yeny Anita,3,2025-04-19 06:21:13,hallo my Telkomsel kenapa ya akir2 ini saya buka apk nya kok loading nya lamaa banget padahal pake full wifi lancar sinyal pake data juga full sinyal d pakek buat buka apk my Telkomsel kok malah muter2 Ndak slesai2 kalo beli pulsa data si cepat buat liat sisa paket datanya yg susah
com.telkomsel.telkomselcm,Nur Safitri,1,2025-04-19 06:18:42,"Mau nanya, kenapa kuota youtube saya gabisa dipake? Pdhl jaringan juga bagus"" aja, kuota nya juga masih banyak, tapi pas mau buat buka youtube gabisa jalan, tolong dong kurangin bug yang kek gini, poin gua juga tiba"" ilang sendiri tu mksd gmn sih? Telkomsel kalo kek gini mending gua beralih kartu aja, gini bngt perasaan"
com.telkomsel.telkomselcm,Willy Frandika,3,2025-04-19 06:12:23,aplikasi parah.. muter muter terus.. niat gak sih bikin aplikasi
com.telkomsel.telkomselcm,Waluya Wisnu,4,2025-04-19 06:09:43,"lumayan, sinya masih bisa stabil."
com.telkomsel.telkomselcm,DRAJAT PANDU ADI LAKSONO 321,1,2025-04-19 06:03:48,saat masuk apk lama sekali loding nya
com.telkomsel.telkomselcm,choky 07,4,2025-04-19 06:02:35,"Susah dikata kan dengan kata kata cukup tau aja,,,semoga ad perubahan"
com.telkomsel.telkomselcm,indra arif,1,2025-04-19 05:59:14,"aplikasi loading, mending pake mode *123# aja gausah gaya²an bikin aplikasi buat cek kuota dsb, lemotnya gaada obat."
com.telkomsel.telkomselcm,Fakhrii Maulana,1,2025-04-19 05:48:15,"ini telkonsel udah mau bangkrut apa gimna sih , sy berlangganan da lebih memili provider telkomsel udah lama banget, sampai beli kuota yg mahal dan besar, kenapa sekarang sinyal full tp loading mulu kaya gada kuotanya padahal kuota sy masih banya dan baru beli pun tetep sama loading !!!!, tolong lah berbaikilg dan sesalu paling kenceng dari pada provider kartu saingan lainnya ?!!!!"
com.telkomsel.telkomselcm,Dwi Cahyono (Dwi),1,2025-04-19 05:48:13,"menuh menuhin memori doang,"
com.telkomsel.telkomselcm,Mike Cynthia,4,2025-04-19 05:40:19,aplikasinya lemot
com.telkomsel.telkomselcm,Rafisqy Pratama,1,2025-04-19 05:36:04,aplikasi gak bs update kuota
com.telkomsel.telkomselcm,tawar- tawarin,1,2025-04-19 05:31:47,terlalu banyak gayaa apknya ALAY
com.telkomsel.telkomselcm,Kacuk ahmad,1,2025-04-19 05:29:07,"telkomsel kuota nya ga beres, udh mahal beli paket yg 7gb biasa nya cukup buat seminggu, ini baru 3 hari udah habis, padahal pemakaian normal, kurasa yg 7gb itu isi nya cuma 4gb, udh 2x kejadian seperti ini, padahal sebelum ini paket 7gb dalam 1 minggu pasti masih sisa, mau ganti xl atau axis aja lebih murah dan lebih baik."
com.telkomsel.telkomselcm,Etin Kurniatin,1,2025-04-19 05:22:16,"saya memakai pulsa internet harian dan pulsa internet bulanan , kenapa setiap mau beli paket selalu loading, dan baru bisa berhasil jika di uninstall dulu baru di install ulang dan ini sangat merepotkan"
com.telkomsel.telkomselcm,fairy Tail,2,2025-04-19 05:19:02,"aplikasi semakin lemot klo di buka, tolong diperbaiki"
com.telkomsel.telkomselcm,Deza 22,5,2025-04-19 05:13:33,bagus
com.telkomsel.telkomselcm,Tasrip rip,4,2025-04-19 05:12:11,"Telkomsel yang terhormat, mengapa puasanya cepat habis padahal belum ada 1 bulan, aku sudah beli 2 kali 75. rb sekarang sudah pinjam lagi 13 rb, dalam 1bulan ini sudah 2 kali pinjaman 13 rb, apakah ada hubungannya dengan acara Meta Facebook, monetisasi konten begitu. Terima kasih."
com.telkomsel.telkomselcm,Rafa Maulana,1,2025-04-19 04:08:14,"harga elit, sinyal sulit"
com.telkomsel.telkomselcm,rahmat tri rahardjo,3,2025-04-19 04:07:20,saya kasih bintang 3 dulu kalau memang dapat undian hepi lewat point saya kirim 300 lebih baru saya kasih mentok ratingnya
com.telkomsel.telkomselcm,Mara Mara,1,2025-04-19 03:54:34,"Jelek...Buruk sekali... Pulsa saya selalu di sedotnya..Masih saja Telkomsel suka menyedot pulsa saya. Pulsa saya tetap di ambilnya. HP saya ini dual SIM (dua kartu).. Satu Telkomsel dan satunya kartu Tri. Saya internet menggunakan kartu Tri. Tetapi Telkomsel masih saja suka menyedot pulsa saya. Padahal jaringan internet jelas-jelas sudah TRI. Haduh Telkomsel, kenapa kamu suka mengambil pulsa costumer. Kartu Tri saja tidak pernah mengambil pulsa orang lain."
com.telkomsel.telkomselcm,Baradito,5,2025-04-19 03:42:04,okeeeeeeeeeeee
com.telkomsel.telkomselcm,taufik rafanovic,1,2025-04-19 03:32:50,"Semakin sangat tak berfaedah ini aplikasi, ngelag sama sekali ga bisa kebuka lg setelah uninstall dan download, penyakit sama, koneksi labil tapi harga stabil malah cenderung naik tp pelayanan dan kualitas semakin mundur, ooooOHH inikah NEGERIKU dari segala sisi ????"
com.telkomsel.telkomselcm,Nadhif chan,5,2025-04-19 03:26:05,puas
com.telkomsel.telkomselcm,ViMo Lightning Project,1,2025-04-19 03:25:46,"mmpos kao, turun rating, urus lah apk nya mudah eror kan mobal, uang rakyat dikemanakan"
com.telkomsel.telkomselcm,Ja Jang,5,2025-04-19 03:20:25,ni apak lumayan bagus
com.telkomsel.telkomselcm,Didi Saputra,5,2025-04-19 03:16:58,bagus
com.telkomsel.telkomselcm,Sipoet Rabay,1,2025-04-19 03:11:59,interner nya makin kesini bukan bagus malah makin jelek
com.telkomsel.telkomselcm,Budi Irawan,1,2025-04-19 02:55:31,"udah bukan rahasia lagi, Telkomsel harga muahhaalll kualitas jaringan busukkkk"
com.telkomsel.telkomselcm,Annisa Rahma,1,2025-04-19 02:50:21,"Ini knp sih Telkomsel makin hari makin jelek jaringan nya, tiap malam gangguan, makin ancur kualitas ny, sdngkn paket kuota ny loh mahal"
com.telkomsel.telkomselcm,Supiori Sorendiweri,5,2025-04-19 02:37:25,sangat baik sklio
com.telkomsel.telkomselcm,Jenuryadi _,5,2025-04-19 02:21:04,Mantap
com.telkomsel.telkomselcm,Sasuke 17,1,2025-04-19 02:05:11,"ini aplikasi dari dulu gaada perubahan sistemnya, setiap buka aplikasi loading terus seperti tidak ada sinyal padahal sinyal disini bagus, refresh udah tapi tetap loading kaya ga niat bikin aplikasi ga keurus gaada perubahan!!!"
com.telkomsel.telkomselcm,Edyson,1,2025-04-19 02:01:53,jaringannya bapuk dah ga kaya dulu lg
com.telkomsel.telkomselcm,Ryandika sahatama,1,2025-04-19 01:46:40,"lawak , sekarang makin susah untuk cek kuota pake mytelkomsel"
com.telkomsel.telkomselcm,sona 99,1,2025-04-19 01:29:03,"dulu sih bagus sekarang malah jad eror gini, kenapa yaa"
com.telkomsel.telkomselcm,Didi Sdi,1,2025-04-19 01:17:09,signal dan apk jelek mulu udh kek pake kartu ax.. lol
com.telkomsel.telkomselcm,Anime edits For life,1,2025-04-19 01:07:10,buset ni app berat bgt bjir 💀
com.telkomsel.telkomselcm,Ahmad Pandji,1,2025-04-19 00:51:58,aplikasi mahalnya doang kualitas buruk dari dulu ga pernah ada perbaikan kaya ga punya karyawan
com.telkomsel.telkomselcm,ronaldo fernando,1,2025-04-19 00:45:54,"tolong ini aplikasi sangat berat, saat buka butuh waktu loading yang lama, sedang aplikasi games aja tidak seberat ini,, teruntuk paket lama lama harga menggila"
com.telkomsel.telkomselcm,Sony Anastasia,1,2025-04-19 00:42:48,sinyal makin lama makin leg
com.telkomsel.telkomselcm,Fakta Unik,3,2025-04-19 00:37:57,"kenapa udah 2 bulan ni jaringannya buruk banget saya di kota pekanbaru susah dapat internet laju, ada apa dengan telkomsel"
com.telkomsel.telkomselcm,Muhammad Dzikrullah,2,2025-04-19 00:28:11,lag mulu padahal jaringan full apk aneh
com.telkomsel.telkomselcm,Ahmad Jayadi,2,2025-04-19 00:21:30,susah masuk!!
com.telkomsel.telkomselcm,Takwa Takwa,1,2025-04-19 00:18:20,"apk penipu, baru beli paket unlimited tiba"" masuk notif kuota udah habis, padahal jangkwa waktu 1 hari keteranganta, baru juga di isi udah hilang mana cs nya slow respon banget, nyesel make ni apk 👎👎"
com.telkomsel.telkomselcm,Nur Abidin,1,2025-04-19 00:15:32,buseeed beli kuota udah di bayar tpi masuk nya lama amat nyesel gua pake TELKOMSEL
com.telkomsel.telkomselcm,Muhantonibahrul Alam,1,2025-04-19 00:10:18,aplikasi kebanyakan bug tidak konsisten dan buruk!!!!!
com.telkomsel.telkomselcm,Motor Balap,5,2025-04-19 00:09:24,sangat puas
com.telkomsel.telkomselcm,AnasKarom,5,2025-04-19 00:07:53,mantapp
com.telkomsel.telkomselcm,B3nny 422r,1,2025-04-19 00:05:27,baru aja top up fulsa..tapi hilang begitu aja. gimana nih min layanan nya. makin lama makin kecewakan pelanggan...sangat kecewa min..tolong diselidiki..
com.telkomsel.telkomselcm,Reja Rezky Alamsyah,1,2025-04-19 00:01:38,"Fitur sudah oke, tapi performa aplikasi sangat buruk. Tidak lancar sama sekali, lag, patah-patah. Semoga segera diperbaiki. Aamiin"
com.telkomsel.telkomselcm,Julian Feri,1,2025-04-18 23:59:29,sinyal buruk
com.telkomsel.telkomselcm,Nia Arika Nia,5,2025-04-18 23:52:55,mantap dan keren banget👍
com.telkomsel.telkomselcm,Bachrul ulum Habibie,1,2025-04-18 23:49:31,"ini apk di hp Infinix dan Tecno tidak bisa memuat data kayak loading Mulu pokoknya gabisa cek kuota,pulsa dll . semoga bisa cepet di perbaiki soalnya merepotkan masa cek kuota saja gabisa?"
com.telkomsel.telkomselcm,Al Khaliq,1,2025-04-18 23:46:53,"mau pasang indihome malah ga di layani karena batasan cuma 8 rumah (router) yg bisa make indihome perlingkungan, kalau memamg cuma bisa 8 perlingkungan lalu bagaimana dengan komplek di kota kota yg banyak masang wifi, kenapa gaada batasan? apa bedanya komplek sama lingkungan, sama sama bayar kan dengan tarif yg di tentukan?tolong lah kedepannya jangan di batasi 8 router perlingkungan, saya mau pasang tapi gabisa"
com.telkomsel.telkomselcm,A. Malik D.A,5,2025-04-18 23:45:15,"Maaf ini sinyal nya kenapa lag terus ya pas malam, selalu tidak stabil, buat main game juga kurang enak"
com.telkomsel.telkomselcm,Filzah Nabilla,1,2025-04-18 23:43:59,"kemarin mau pasang indihome tapi kok ga di layani gituu karena batasan cuma 8 rumah (router) yg bisa make indihome perlingkungan sumpah kecewaa bangett , tolongg dongg bantuannya!!!!!"
com.telkomsel.telkomselcm,Wani Refan (Refan),5,2025-04-18 23:34:15,sangat bagus lengkap dan membantu
com.telkomsel.telkomselcm,Rayan Grca,2,2025-04-18 23:26:51,"sinyal lemot, aplikasi nya juga lemot kek mana kalian ni, padahal pake wifi tapi apk nya lemot bet dah"
com.telkomsel.telkomselcm,M Y Trisna S,1,2025-04-18 23:20:23,"sinyal busuk parah gak pernah stabil, udah tier platinum masih aja MAHAL (tapi SINYAL BUSUK) gak pernah dapet diskon!"
com.telkomsel.telkomselcm,MngTyz 15,5,2025-04-18 23:20:07,telkomsel masih terbaik🔥🔥🙏
com.telkomsel.telkomselcm,Rizal Permana,1,2025-04-18 23:14:26,"Kenapa ya Telkomsel semakin banyak pemakaian malah jadi semakin MAHAL harga paket internetnya, padahal pengguna lama dari 2010 pake provider ini. Bukannya malah dimanjain dengan paket promo internet yang lebih murah/bonus pengguna lama, malah makin DILUAR NALAR harganya .. sampe tidak sadar KUOTA OVER PRICE, PEMBOROSAN, tadinya sayang harus ganti kartu, tapi ya kalo gini terus mohonmaap mending pindah ke provider lain, jaringan stabil harga lebih ekonomis juga masi adaa... Byeeeee Telkomsel !"
com.telkomsel.telkomselcm,Berry Angga Saputra,1,2025-04-18 23:12:56,"makin lama makin ga jelas telkomsel. make paket darurat juga engga malah masuk masa aktif paket darurat anda akan habis. gimana sih, isi ulang pulsa disedot ga jelas. yang bener dong, makan uang haram lu. ditambah lagi kecepatan jaringan yang LTE suka mendadak ke e bahkan g. sinyalpun suka mendadak hilang, katanya Telkomsel jaringannya luas, koq malah ga sesuai. udah langganan paket beli bulanan mahal mahal ehh ga sesuai sama nikmat penggunaan."
com.telkomsel.telkomselcm,Riski Yuon,1,2025-04-18 23:11:40,"jaringan jelek trs gk guna,makanya mls bayar utang gk usah di bayar bila perlu kartu y di blokir juga masa bodoh udah👎🏿👎🏿👎🏿👎🏿👎🏿👎🏿👎🏿👎🏿👎🏿👎🏿👎🏿👎🏿👎🏿👎🏿👎🏿👎🏿👎🏿👎🏿👎🏿👎🏿👎🏿👎🏿👎🏿👎🏿👎🏿👎🏿👎🏿👎🏿👎🏿👎🏿👎🏿👎🏿👎🏿👎🏿👎🏿👎🏿👎🏿👎🏿👎🏿👎🏿👎🏿👎🏿👎🏿👎🏿👎🏿👎🏿👎🏿👎🏿👎🏿👎🏿👎🏿👎🏿👎🏿👎🏿 mending gua bikin paket darurat trs sampai 1 juta abis gua matiin ni kartu klo gk di perbaiki tu masalh jaringan"
com.telkomsel.telkomselcm,Jessica Maulida (Jess),1,2025-04-18 23:09:18,lemot parah
com.telkomsel.telkomselcm,Rama Ramdani,1,2025-04-18 23:02:22,apk tolol lu jangan update Mulu benerin dulu jaringan baaBi bangkrut aja telkontod
com.telkomsel.telkomselcm,begu ganjang,1,2025-04-18 23:01:02,aplikasi terburuk
com.telkomsel.telkomselcm,Ariie Ashari,1,2025-04-18 22:55:14,asli konyol buka aplikasinya aja gak bisa
com.telkomsel.telkomselcm,Asep Maulindra,1,2025-04-18 22:36:02,sudah berkali kali dicoba tapi tetap tidak bisa login
com.telkomsel.telkomselcm,Alfi Musaitir,1,2025-04-18 22:33:41,aplikasi lemot
com.telkomsel.telkomselcm,Rivaldi Pebriansah,2,2025-04-18 22:27:57,"aplikasi lemot mulu padahal sinyal bagus,tolong diperbaiki"
